level,exp needed,exp required increase,,x = ,y = ,functoin for increased exp required per level,(level/x)^y,
1,6,6.25,,0.4,2.00,,,
2,11,4.930339887,,0.4,1.50,,,
3,20,8.949544586,,0.4,1.49,,,
4,30,10.06963273,,0.4,1.48,,,
5,41,10.76970501,,0.4,1.47,,,
6,52,11.16143957,,0.4,1.46,,,
7,63,11.31547316,,0.4,1.45,,,
8,75,11.28183661,,0.4,1.44,,,
9,86,11.0984491,,0.4,1.43,,,
10,97,10.79531003,,0.4,1.42,,,
11,107,10.39682816,,0.4,1.41,,,
12,117,9.923236381,,0.4,1.40,,,
13,131,13.8669276,,0.4,1.40,,,
14,145,14.30058218,,0.4,1.40,,,
15,160,14.71534969,,0.4,1.40,,,
16,175,15.11327713,,0.4,1.40,,,
17,190,15.49607359,,0.4,1.40,,,
18,206,15.86518292,,0.4,1.40,,,
19,223,16.22183754,,0.4,1.40,,,
20,239,16.56709907,,0.4,1.40,,,
21,256,16.90188944,,0.4,1.40,,,
22,273,17.22701514,,0.4,1.40,,,
23,291,17.5431863,,0.4,1.40,,,
24,309,17.85103197,,0.4,1.40,,,
25,327,18.15111238,,0.4,1.40,,,
26,345,18.44392895,,0.4,1.40,,,
27,364,18.72993251,,0.4,1.40,,,
28,383,19.00953013,,0.4,1.40,,,
29,402,19.28309073,,0.4,1.40,,,
30,422,19.55094993,,0.4,1.40,,,
31,442,19.81341402,,0.4,1.40,,,
32,462,20.07076344,,0.4,1.40,,,
33,482,20.32325565,,0.4,1.40,,,
34,503,20.57112772,,0.4,1.40,,,
35,523,20.81459845,,0.4,1.40,,,
36,544,21.05387028,,0.4,1.40,,,
37,566,21.28913096,,0.4,1.40,,,
38,587,21.52055496,,0.4,1.40,,,
39,609,21.74830473,,0.4,1.40,,,
40,631,21.97253184,,0.4,1.40,,,
41,653,22.19337795,,0.4,1.40,,,
42,676,22.4109757,,0.4,1.40,,,
43,698,22.62544946,,0.4,1.40,,,
44,721,22.83691605,,0.4,1.40,,,
45,744,23.04548535,,0.4,1.40,,,
46,767,23.25126086,,0.4,1.40,,,
47,791,23.45434021,,0.4,1.40,,,
48,814,23.65481559,,0.4,1.40,,,
49,838,23.8527742,,0.4,1.40,,,
50,862,24.04829855,,0.4,1.40,,,
51,887,24.24146689,,0.4,1.40,,,
52,911,24.43235342,,0.4,1.40,,,
53,936,24.62102865,,0.4,1.40,,,
54,960,24.80755959,,0.4,1.40,,,
55,985,24.99201003,,0.4,1.40,,,
56,1011,25.17444073,,0.4,1.40,,,
57,1036,25.3549096,,0.4,1.40,,,
58,1061,25.53347192,,0.4,1.40,,,
59,1087,25.71018047,,0.4,1.40,,,
60,1113,25.88508571,,0.4,1.40,,,
61,1139,26.05823589,,0.4,1.40,,,
62,1165,26.2296772,,0.4,1.40,,,
63,1192,26.39945389,,0.4,1.40,,,
64,1218,26.56760838,,0.4,1.40,,,
65,1245,26.73418135,,0.4,1.40,,,
66,1272,26.89921186,,0.4,1.40,,,
67,1299,27.06273743,,0.4,1.40,,,
68,1326,27.22479409,,0.4,1.40,,,
69,1354,27.38541653,,0.4,1.40,,,
70,1381,27.54463809,,0.4,1.40,,,
71,1409,27.7024909,,0.4,1.40,,,
72,1437,27.85900588,,0.4,1.40,,,
73,1465,28.01421286,,0.4,1.40,,,
74,1493,28.16814058,,0.4,1.40,,,
75,1521,28.32081678,,0.4,1.40,,,
76,1550,28.47226824,,0.4,1.40,,,
77,1578,28.62252081,,0.4,1.40,,,
78,1607,28.77159946,,0.4,1.40,,,
79,1636,28.91952835,,0.4,1.40,,,
80,1665,29.06633082,,0.4,1.40,,,
81,1694,29.21202945,,0.4,1.40,,,
82,1724,29.35664611,,0.4,1.40,,,
83,1753,29.50020196,,0.4,1.40,,,
84,1783,29.6427175,,0.4,1.40,,,
85,1813,29.7842126,,0.4,1.40,,,
86,1843,29.9247065,,0.4,1.40,,,
87,1873,30.06421789,,0.4,1.40,,,
88,1903,30.20276488,,0.4,1.40,,,
89,1933,30.34036503,,0.4,1.40,,,
90,1964,30.47703542,,0.4,1.40,,,
91,1994,30.6127926,,0.4,1.40,,,
92,2025,30.74765268,,0.4,1.40,,,
93,2056,30.88163128,,0.4,1.40,,,
94,2087,31.01474361,,0.4,1.40,,,
95,2118,31.14700445,,0.4,1.40,,,
96,2149,31.27842816,,0.4,1.40,,,
97,2181,31.40902873,,0.4,1.40,,,
98,2212,31.53881976,,0.4,1.40,,,
99,2244,31.66781451,,0.4,1.40,,,
100,2276,31.79602585,,0.4,1.40,,,
101,2308,31.92346637,,0.4,1.40,,,
102,2340,32.05014828,,0.4,1.40,,,
103,2372,32.17608352,,0.4,1.40,,,
104,2404,32.30128371,,0.4,1.40,,,
105,2437,32.42576018,,0.4,1.40,,,
106,2469,32.54952397,,0.4,1.40,,,
107,2502,32.67258587,,0.4,1.40,,,
108,2535,32.79495639,,0.4,1.40,,,
109,2568,32.91664579,,0.4,1.40,,,
110,2601,33.0376641,,0.4,1.40,,,
111,2634,33.15802108,,0.4,1.40,,,
112,2667,33.2777263,,0.4,1.40,,,
113,2700,33.39678907,,0.4,1.40,,,
114,2734,33.51521852,,0.4,1.40,,,
115,2768,33.63302354,,0.4,1.40,,,
116,2801,33.75021284,,0.4,1.40,,,
117,2835,33.86679493,,0.4,1.40,,,
118,2869,33.98277812,,0.4,1.40,,,
119,2903,34.09817055,,0.4,1.40,,,
120,2937,34.21298018,,0.4,1.40,,,
121,2972,34.32721479,,0.4,1.40,,,
122,3006,34.440882,,0.4,1.40,,,
123,3041,34.55398926,,0.4,1.40,,,
124,3075,34.66654386,,0.4,1.40,,,
125,3110,34.77855296,,0.4,1.40,,,
126,3145,34.89002354,,0.4,1.40,,,
127,3180,35.00096245,,0.4,1.40,,,
128,3215,35.1113764,,0.4,1.40,,,
129,3250,35.22127197,,0.4,1.40,,,
130,3286,35.33065559,,0.4,1.40,,,
131,3321,35.43953358,,0.4,1.40,,,
132,3357,35.54791212,,0.4,1.40,,,
133,3392,35.65579727,,0.4,1.40,,,
134,3428,35.76319498,,0.4,1.40,,,
135,3464,35.87011107,,0.4,1.40,,,
136,3500,35.97655127,,0.4,1.40,,,
137,3536,36.08252119,,0.4,1.40,,,
138,3572,36.18802631,,0.4,1.40,,,
139,3609,36.29307204,,0.4,1.40,,,
140,3645,36.39766368,,0.4,1.40,,,
141,3681,36.50180641,,0.4,1.40,,,
142,3718,36.60550536,,0.4,1.40,,,
143,3755,36.70876551,,0.4,1.40,,,
144,3792,36.81159178,,0.4,1.40,,,
145,3829,36.91398902,,0.4,1.40,,,
146,3866,37.01596194,,0.4,1.40,,,
147,3903,37.11751522,,0.4,1.40,,,
148,3940,37.21865343,,0.4,1.40,,,
149,3977,37.31938106,,0.4,1.40,,,
150,4015,37.41970252,,0.4,1.40,,,
151,4052,37.51962215,,0.4,1.40,,,
152,4090,37.61914422,,0.4,1.40,,,
153,4127,37.71827291,,0.4,1.40,,,
154,4165,37.81701235,,0.4,1.40,,,
155,4203,37.91536659,,0.4,1.40,,,
156,4241,38.0133396,,0.4,1.40,,,
157,4279,38.11093531,,0.4,1.40,,,
158,4318,38.20815756,,0.4,1.40,,,
159,4356,38.30501013,,0.4,1.40,,,
160,4394,38.40149676,,0.4,1.40,,,
161,4433,38.49762111,,0.4,1.40,,,
162,4471,38.59338678,,0.4,1.40,,,
163,4510,38.68879732,,0.4,1.40,,,
164,4549,38.78385622,,0.4,1.40,,,
165,4588,38.87856692,,0.4,1.40,,,
166,4627,38.97293279,,0.4,1.40,,,
167,4666,39.06695716,,0.4,1.40,,,
168,4705,39.16064331,,0.4,1.40,,,
169,4744,39.25399447,,0.4,1.40,,,
170,4783,39.3470138,,0.4,1.40,,,
171,4823,39.43970445,,0.4,1.40,,,
172,4862,39.53206947,,0.4,1.40,,,
173,4902,39.62411192,,0.4,1.40,,,
174,4942,39.71583477,,0.4,1.40,,,
175,4982,39.80724096,,0.4,1.40,,,
176,5022,39.89833341,,0.4,1.40,,,
177,5061,39.98911495,,0.4,1.40,,,
178,5102,40.07958841,,0.4,1.40,,,
179,5142,40.16975655,,0.4,1.40,,,
180,5182,40.25962211,,0.4,1.40,,,
181,5222,40.34918779,,0.4,1.40,,,
182,5263,40.43845623,,0.4,1.40,,,
183,5303,40.52743006,,0.4,1.40,,,
184,5344,40.61611184,,0.4,1.40,,,
185,5385,40.70450413,,0.4,1.40,,,
186,5425,40.79260942,,0.4,1.40,,,
187,5466,40.8804302,,0.4,1.40,,,
188,5507,40.9679689,,0.4,1.40,,,
189,5548,41.05522791,,0.4,1.40,,,
190,5589,41.14220962,,0.4,1.40,,,
